DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Year,Month,Hour
2020-02-14,1400,Hollywood,BATTERY - SIMPLE ASSAULT,36,F,W,2020,2020-02-01,14
2020-11-01,350,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,M,B,2020,2020-11-01,3
2020-07-24,1820,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,M,B,2020,2020-07-01,18
2020-10-26,1445,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,F,H,2020,2020-10-01,14
2020-10-28,2335,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,F,B,2020,2020-10-01,23
2020-08-11,2330,Wilshire,BATTERY - SIMPLE ASSAULT,28,F,W,2020,2020-08-01,23
2020-10-29,2300,Southwest,BATTERY - SIMPLE ASSAULT,32,F,W,2020,2020-10-01,23
2020-07-31,600,Wilshire,BATTERY - SIMPLE ASSAULT,64,M,W,2020,2020-07-01,6
2020-07-01,2130,Harbor,BATTERY - SIMPLE ASSAULT,23,M,H,2020,2020-07-01,21
2020-04-30,1220,Wilshire,BATTERY - SIMPLE ASSAULT,55,M,B,2020,2020-04-01,12
2020-06-12,100,Southwest,BATTERY POLICE (SIMPLE),19,X,X,2020,2020-06-01,1
2020-10-29,1240,Southwest,BATTERY - SIMPLE ASSAULT,34,F,O,2020,2020-10-01,12
2020-09-24,2040,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,F,H,2020,2020-09-01,20
2020-06-22,1220,West LA,BATTERY - SIMPLE ASSAULT,35,M,W,2020,2020-06-01,12
2020-11-01,1110,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,B,2020,2020-11-01,11
2020-10-07,55,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,M,B,2020,2020-10-01,0
2020-10-10,1205,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,M,B,2020,2020-10-01,12
2020-10-31,115,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",29,F,H,2020,2020-10-01,1
2020-01-24,1935,Wilshire,BATTERY - SIMPLE ASSAULT,45,F,B,2020,2020-01-01,19
2020-11-16,1400,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,H,2020,2020-11-01,14
2020-06-30,850,Van Nuys,BATTERY - SIMPLE ASSAULT,38,M,O,2020,2020-06-01,8
2020-10-28,1900,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",68,M,B,2020,2020-10-01,19
2020-03-07,10,Hollywood,BATTERY - SIMPLE ASSAULT,28,M,W,2020,2020-03-01,0
2020-10-28,2335,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,B,2020,2020-10-01,23
2020-08-15,1600,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,H,2020,2020-08-01,16
2020-10-10,1815,Southwest,BATTERY - SIMPLE ASSAULT,32,M,O,2020,2020-10-01,18
2020-10-05,1230,Hollywood,BATTERY - SIMPLE ASSAULT,68,M,A,2020,2020-10-01,12
2020-07-24,1715,Hollywood,BATTERY - SIMPLE ASSAULT,65,M,W,2020,2020-07-01,17
2020-02-19,2115,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,O,2020,2020-02-01,21
2020-10-11,400,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,M,H,2020,2020-10-01,4
2020-10-26,1600,Southwest,BATTERY - SIMPLE ASSAULT,50,F,W,2020,2020-10-01,16
2020-08-25,555,Wilshire,BATTERY - SIMPLE ASSAULT,47,F,W,2020,2020-08-01,5
2020-01-01,1,Van Nuys,BATTERY - SIMPLE ASSAULT,34,F,B,2020,2020-01-01,0
2020-09-09,1110,Van Nuys,BATTERY - SIMPLE ASSAULT,58,F,H,2020,2020-09-01,11
2020-12-12,2000,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,F,H,2020,2020-12-01,20
2020-08-09,325,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21,M,B,2020,2020-08-01,3
2020-05-25,845,Harbor,BATTERY - SIMPLE ASSAULT,41,M,H,2020,2020-05-01,8
2020-10-23,2355,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,H,2020,2020-10-01,23
2020-01-15,1100,Hollywood,BATTERY - SIMPLE ASSAULT,37,M,W,2020,2020-01-01,11
2020-10-29,2115,Southwest,BATTERY POLICE (SIMPLE),19,X,X,2020,2020-10-01,21
2020-08-17,1350,West LA,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",66,M,W,2020,2020-08-01,13
2020-05-06,658,West Valley,BATTERY - SIMPLE ASSAULT,60,F,B,2020,2020-05-01,6
2020-05-17,1600,Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,M,H,2020,2020-05-01,16
2020-10-17,1600,Southwest,BATTERY - SIMPLE ASSAULT,40,M,H,2020,2020-10-01,16
2020-10-16,1630,Southwest,BATTERY - SIMPLE ASSAULT,28,M,H,2020,2020-10-01,16
2020-09-09,200,Harbor,BATTERY - SIMPLE ASSAULT,50,F,H,2020,2020-09-01,2
2020-10-23,1900,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,F,W,2020,2020-10-01,19
2020-08-23,1500,Harbor,BATTERY - SIMPLE ASSAULT,23,F,H,2020,2020-08-01,15
2020-10-03,2150,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,M,H,2020,2020-10-01,21
2020-07-10,1330,West Valley,BATTERY - SIMPLE ASSAULT,28,M,H,2020,2020-07-01,13
2020-05-06,2100,West Valley,BATTERY - SIMPLE ASSAULT,32,F,H,2020,2020-05-01,21
2020-11-01,1400,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,B,2020,2020-11-01,14
2020-11-12,1430,Wilshire,BATTERY - SIMPLE ASSAULT,31,M,H,2020,2020-11-01,14
2020-02-14,545,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,M,O,2020,2020-02-01,5
2020-11-01,1150,Southwest,BATTERY - SIMPLE ASSAULT,17,M,H,2020,2020-11-01,11
2020-04-24,1730,Hollywood,BATTERY - SIMPLE ASSAULT,45,M,H,2020,2020-04-01,17
2020-12-21,2110,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,M,B,2020,2020-12-01,21
2020-07-22,1030,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,F,A,2020,2020-07-01,10
2020-04-30,2240,Hollywood,BATTERY - SIMPLE ASSAULT,54,M,W,2020,2020-04-01,22
2020-04-22,1940,West LA,BATTERY - SIMPLE ASSAULT,32,M,W,2020,2020-04-01,19
2020-09-27,45,Van Nuys,BATTERY - SIMPLE ASSAULT,26,M,H,2020,2020-09-01,0
2020-08-09,1130,West LA,BATTERY - SIMPLE ASSAULT,24,M,H,2020,2020-08-01,11
2020-09-07,2145,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",55,M,H,2020,2020-09-01,21
2020-07-31,1530,West LA,BATTERY - SIMPLE ASSAULT,39,F,O,2020,2020-07-01,15
2020-01-01,1810,Hollywood,BATTERY - SIMPLE ASSAULT,55,M,H,2020,2020-01-01,18
2020-03-10,600,Hollywood,BATTERY - SIMPLE ASSAULT,23,M,W,2020,2020-03-01,6
2020-08-21,630,Wilshire,BATTERY - SIMPLE ASSAULT,39,M,H,2020,2020-08-01,6
2020-09-26,1350,Harbor,BATTERY - SIMPLE ASSAULT,14,X,X,2020,2020-09-01,13
2020-12-23,1000,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39,M,O,2020,2020-12-01,10
2020-10-07,2025,Hollenbeck,BATTERY - SIMPLE ASSAULT,59,M,H,2020,2020-10-01,20
2020-09-28,1325,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,F,B,2020,2020-09-01,13
2020-06-17,1330,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,H,2020,2020-06-01,13
2020-10-26,2230,Southwest,BATTERY - SIMPLE ASSAULT,70,M,B,2020,2020-10-01,22
2020-10-17,1840,Hollenbeck,BATTERY - SIMPLE ASSAULT,41,M,H,2020,2020-10-01,18
2020-05-09,1250,West LA,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,M,W,2020,2020-05-01,12
2020-04-02,715,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,B,2020,2020-04-01,7
